City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
321,Feijo,BR,12/20/21 2:53,-8.1642,-70.3536,74.77,98,100,2.8
322,Xique-Xique,BR,12/20/21 2:54,-10.8218,-42.7263,76.08,79,100,5.55
323,Porto Walter,BR,12/20/21 2:54,-8.2686,-72.7439,75.7,87,73,2.35
325,Broken Hill,AU,12/20/21 2:54,-31.95,141.4333,71.31,26,2,9.22
326,Baybay,PH,12/20/21 2:54,10.6833,124.8333,84.7,70,87,4.34
327,Comodoro Rivadavia,AR,12/20/21 2:53,-45.8667,-67.5,55.26,67,0,11.5
328,Sri Aman,MY,12/20/21 2:52,1.2376,111.4621,82.45,78,20,4.61
329,Nelson Bay,AU,12/20/21 2:54,-32.7167,152.15,92.75,65,92,3
330,Amlame,TG,12/20/21 2:54,7.4667,0.9,71.58,33,33,3.27
331,Texarkana,US,12/20/21 2:54,33.4251,-94.0477,41.23,77,3,1.01
332,Chimbote,PE,12/20/21 2:54,-9.0853,-78.5783,66.94,84,91,5.97
333,Lindas,NO,12/20/21 2:54,60.7381,5.16,33.49,73,29,6.42
334,Ilebo,CD,12/20/21 2:54,-4.3167,20.5833,71.62,99,100,1.88
335,Ulaanbaatar,MN,12/20/21 2:52,47.9077,106.8832,6.93,72,0,4.47
336,Richards Bay,ZA,12/20/21 2:54,-28.783,32.0377,67.82,80,96,5.48
337,Mahibadhoo,MV,12/20/21 2:54,3.7833,72.9667,82.89,73,100,17.34
338,Tyukalinsk,RU,12/20/21 2:54,55.8732,72.1967,12.97,96,98,7.2
339,Waitati,NZ,12/20/21 2:54,-45.75,170.5667,74.73,43,88,22.28
340,Bemidji,US,12/20/21 2:50,47.4736,-94.8803,25.09,88,75,9.22
341,Kamenka,RU,12/20/21 2:53,51.3223,42.7678,31.75,98,100,10.18
342,Ketchikan,US,12/20/21 2:53,55.3422,-131.6461,25.2,71,8,6.04
343,Bulaevo,KZ,12/20/21 2:54,54.9056,70.4439,16.18,96,100,5.91
344,Sorong,ID,12/20/21 2:54,-0.8833,131.25,81.05,81,100,2.35
345,Manitouwadge,CA,12/20/21 2:54,49.1215,-85.8403,30.92,90,100,17.65
346,Newport Beach,US,12/20/21 2:54,33.6189,-117.9289,57.9,74,5,2.71
347,Klaksvik,FO,12/20/21 2:53,62.2266,-6.589,41.92,82,100,10.87
348,Aguilas,ES,12/20/21 2:54,37.4063,-1.5829,51.33,83,71,2.84
349,Itacare,BR,12/20/21 2:54,-14.2775,-38.9967,75.33,90,100,1.99
