City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
297,San Patricio,US,28.017,-97.5169,81.01,61,20,19.28,Clouds
298,Sompeta,IN,18.9333,84.6,70.27,78,3,5.39,Clear
299,Pratapgarh,IN,24.0333,74.7833,55.42,63,25,9.82,Clouds
300,Ronda,ES,36.7423,-5.1671,53.53,56,0,3.91,Clear
301,Brae,GB,60.3964,-1.353,44.51,67,99,13.49,Clouds
302,Kavieng,PG,-2.5744,150.7967,82.36,76,100,4.29,Clouds
303,Umea,SE,63.8284,20.2597,13.93,85,75,5.75,Clouds
304,Touros,BR,-5.1989,-35.4608,88.7,65,68,14.2,Clouds
305,Itaituba,BR,-4.2761,-55.9836,84.36,79,75,5.75,Clouds
306,Pangnirtung,CA,66.1451,-65.7125,1.4,66,90,5.75,Clouds
307,Prince Rupert,CA,54.3161,-130.3201,29.89,82,90,6.91,Clouds
308,Husavik,IS,66.0449,-17.3389,10.31,71,23,11.27,Clouds
309,Kulu,TR,39.0951,33.0799,37.33,73,69,1.74,Clouds
310,Mehamn,NO,71.0357,27.8492,25.75,56,100,12.95,Snow
311,Bissen,LU,49.7875,6.0694,49.64,95,10,6.46,Clear
312,Poum,NC,-20.2333,164.0167,80.8,84,100,20.22,Rain
313,Grafton,US,42.207,-71.6856,45.55,93,90,4.61,Mist
314,Bay Roberts,CA,47.5999,-53.2648,29.95,71,56,6.06,Clouds
315,North Bend,US,43.4065,-124.2243,39.11,93,90,9.22,Mist
316,Kaeo,NZ,-35.1,173.7833,56.95,91,14,4.25,Clouds
317,Souillac,MU,-20.5167,57.5167,77.38,73,40,6.91,Clouds
318,Varzea Da Palma,BR,-17.5981,-44.7308,69.04,95,100,2.19,Rain
319,Flin Flon,CA,54.7682,-101.865,-16.76,69,40,5.75,Clouds
320,Port Augusta,AU,-32.5,137.7667,75.34,51,100,5.95,Clouds
321,Avarua,CK,-21.2078,-159.775,75.25,88,40,6.91,Clouds
322,Shanghai,CN,31.2222,121.4581,42.67,56,0,2.24,Clear
323,Bonthe,SL,7.5264,-12.505,84.2,67,32,10.67,Clouds
324,Maham,IN,28.9833,76.3,52.34,29,81,3.62,Clouds
325,Dallas,US,32.7668,-96.7836,70.41,88,90,6.91,Mist
326,Marienburg,PL,54.0359,19.0266,49.66,95,100,10.65,Clouds
327,Bambous Virieux,MU,-20.3428,57.7575,77.25,73,40,6.91,Rain
328,Kysyl-Syr,RU,63.8986,122.7617,-31.9,98,100,7.36,Clouds
329,Betong,TH,5.7743,101.0723,71.94,98,100,2.17,Clouds
330,Dauphin,CA,51.1494,-100.0502,-21.86,63,1,18.41,Clear
331,Estevan,CA,49.1334,-102.9842,-23.46,68,1,19.57,Clear
332,Goderich,CA,43.7501,-81.7165,39.52,81,88,8.05,Clouds
333,Non Sang,TH,16.8687,102.5664,71.71,78,0,1.59,Clear
334,Kaitangata,NZ,-46.2817,169.8464,57.9,85,100,4.63,Clouds
335,Kolyvan,RU,55.3053,82.7391,-2.58,97,98,5.35,Clouds
336,Tuatapere,NZ,-46.1333,167.6833,55.67,92,57,4.85,Clouds
337,Mitu,CO,1.1983,-70.1733,84.15,72,59,4.52,Clouds
338,Koppies,ZA,-27.2418,27.5742,71.13,43,16,6.78,Clouds
339,Mamallapuram,IN,12.6264,80.1722,78.85,86,11,11.36,Clouds
340,Esso,RU,55.9333,158.7,11.55,96,96,5.28,Snow
341,Salekhard,RU,66.53,66.6019,-7.73,98,100,7.14,Clouds
342,Bhuj,IN,23.2667,69.6667,64.78,48,14,7.61,Clouds
343,Patan,NP,27.6667,85.3333,44.98,93,20,3.44,Clouds
344,Upata,VE,8.0086,-62.3989,84.34,43,100,5.41,Clouds
345,Namatanai,PG,-3.6667,152.4333,80.15,83,100,5.97,Rain
346,Ishigaki,JP,24.3448,124.1572,67.14,62,100,16.04,Clouds
347,Miraflores,MX,19.2167,-98.8083,63.01,23,0,4.52,Clear
348,Latehar,IN,23.75,84.5,53.76,67,14,1.54,Clouds
349,Sorland,NO,67.667,12.6934,35.22,58,96,27.07,Rain
